OBJECTID,ProjectName,EcologicalSiteId,PlotID,PlotKey,Latitude,Longitude,DateEstablished,DateVisited,BareSoilCover,TotalFoliarCover,GapCover_25_50,GapCover_51_100,GapCover_101_200,GapCover_200_plus,GapCover_25_plus,AH_SagebrushCover,Hgt_Woody_Avg,Hgt_Herbaceous_Avg,Hgt_NonSagebrushShrub_Avg,SoilStability_All,SoilStability_Protected,SoilStability_Unprotected,AH_NoxPerenForbCover,AH_NoxAnnForbCover,AH_NoxPerenGrassCover,AH_NoxAnnGrassCover,AH_NoxAnnForbGrassCover,AH_NoxPerenForbGrassCover,AH_NoxSucculentCover,AH_NoxShrubCover,AH_NoxSubShrubCover,AH_NoxTreeCover,NumSpp_NoxPlant,AH_NonNoxPerenForbCover,AH_NonNoxAnnForbCover,AH_NonNoxPerenGrassCover,AH_NonNoxAnnGrassCover,AH_NonNoxAnnForbGrassCover,AH_NonNoxPerenForbGrassCover,AH_NonNoxSucculentCover,AH_NonNoxShrubCover,AH_NonNoxSubShrubCover,AH_NonNoxTreeCover,Hgt_NonNoxPerenGrass_Avg,Hgt_NoxPerenGrass_Avg,DateLoadedInDb,PrimaryKey,NumSpp_NonNoxPlant,Hgt_PerenGrass_Avg,FH_NoxPerenGrassCover,FH_NoxShrubCover,FH_TotalLitterCover,FH_NoxSubShrubCover,FH_NoxSucculentCover,FH_NoxTreeCover,FH_VagrLichenCover,FH_EmbLitterCover,FH_RockCover,FH_WoodyLitterCover,FH_NonNoxAnnGrassCover,FH_NonNoxTreeCover,FH_CyanobacteriaCover,FH_NonNoxSubShrubCover,FH_WaterCover,FH_HerbLitterCover,FH_NonNoxPerenForbCover,FH_DepSoilCover,FH_NonNoxPerenGrassCover,FH_NoxAnnForbCover,FH_NonNoxAnnForbCover,FH_LichenCover,FH_NonNoxShrubCover,FH_SagebrushCover,FH_NoxPerenForbCover,FH_NoxAnnGrassCover,FH_NonNoxSucculentCover,RH_Rills,RH_WaterFlowPatterns,RH_BareGround,RH_Gullies,RH_WindScouredAreas,RH_LitterMovement,RH_SoilSurfResisErosion,RH_SoilSurfLossDeg,RH_Compaction,RH_FuncSructGroup,RH_DeadDyingPlantParts,RH_LitterAmount,RH_AnnualProd,RH_InvasivePlants,RH_ReprodCapabilityPeren,RH_CommentsSS,RH_CommentsHF,RH_CommentsBI,AH_NonNoxCover,EcolSiteName,County,State,AH_SagebrushCover_Live,Hgt_Sagebrush_Live_Avg,Hgt_Sagebrush_Avg,SagebrushShape_Live_Column,SagebrushShape_Live_SpreadCount,SagebrushShape_All_ColumnCount,SagebrushShape_All_SpreadCount,SagebrushShape_Live_Predominant,SagebrushShape_All_Predominant,AH_PerenGrassCover,AH_PerenForbCover,AH_PerenForbGrassCover,Hgt_PerenForbGrass_Avg,Hgt_PerenForb_Avg,AH_ShrubCover,AH_NonSagebrushShrubCover,Spp_PreferredForb,AH_PreferredForb,NumSpp_PreferredForb,AH_AnnGrassCover,AH_GrassCover,AH_ForbCover,AH_TallPerenGrassCover,AH_ShortPerenGrassCover,Spp_TallPerenGrass,Spp_ShortPerenGrass,Hgt_TallPerenGrass_Avg,Hgt_ShortPerenGrass_Avg,Hgt_Grass_Avg,Hgt_Forb_Avg,Spp_Sagebrush,AH_NoxCover,Spp_Nox,FH_MossCover,FH_DuffCover,DBKey,RH_PedestalsTerracettes,RH_PlantCommunityComp,RH_BioticIntegrity,GlobalID,RH_HydrologicFunction,RH_SoilSiteStability,created_user,created_date,last_edited_user,last_edited_date
1,New Mexico RGdNNM 2014,R051XA005NM,Swale - 102,1409031037501422,36.783024030000000,-105.863605089999990,9/3/2014 6:00:00,9/3/2014 6:00:00,23.333333329999999,56.666666669999998,11.853333330000000,16.493333329999999,10.733333330000001,10.626666670000001,49.706666669999997,30.000000000000000,45.647058819999998,23.869565219999998,,3.388888890000000,3.800000000000000,1.333333330000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,30.666666670000001,0.000000000000000,0.000000000000000,30.666666670000001,0.000000000000000,30.666666670000001,3.333333330000000,0.000000000000000,23.869565219999998,,2014-09-01,14090310375014222014-09-01,14.000000000000000,23.869565219999998,0.000000000000000,0.000000000000000,12.666666670000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,7.333333330000000,6.666666670000000,0.000000000000000,0.000000000000000,0.000000000000000,2.666666670000000,0.000000000000000,6.000000000000000,0.000000000000000,0.000000000000000,23.333333329999999,0.000000000000000,0.000000000000000,0.000000000000000,30.666666670000001,30.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,M,SM,NS,M,NS,NS,NS,NS,NS,NS,SM,NS,NS,SM,NS,good soil stability and site stability,rills and gullies but good infiltration and movement,"some invasion and ARTR2 mortality, good community distirbution",56.666666669999998,,Taos,NM,22.666666670000001,47.625000000000000,47.625000000000000,,,,,,,30.666666670000001,0.000000000000000,30.666666670000001,23.869565219999998,,30.666666670000001,0.666666670000000,,0.000000000000000,0.000000000000000,0.000000000000000,30.666666670000001,0.000000000000000,0.000000000000000,27.333333329999999,,BOGR2; MUTO2,,24.285714290000001,23.869565219999998,,ARTR2,0.000000000000000,,0.000000000000000,0.000000000000000,NM_TaosFO_LUP_2014_5-3b_01.mdb,NS,NS,SM,{517B4C35-9ED7-48DF-87C4-0263A3C55B04},SM,NS,,,ILMNATAIMDEV,11/30/2018 23:16:36
2,New Mexico RGdNNM 2014,R051XA005NM,Swale - 105,1409031352196466,36.791656029999999,-105.857353090000000,9/3/2014 6:00:00,9/3/2014 6:00:00,37.333333330000002,54.666666669999998,2.946666670000000,14.240000000000000,24.826666670000002,9.613333330000000,51.626666669999999,53.333333330000002,74.049999999999997,19.000000000000000,,1.333333330000000,1.428571430000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.666666670000000,1.333333330000000,0.000000000000000,2.666666670000000,1.333333330000000,0.000000000000000,53.333333330000002,0.000000000000000,0.000000000000000,19.000000000000000,,2014-09-01,14090313521964662014-09-01,9.000000000000000,19.000000000000000,0.000000000000000,0.000000000000000,6.666666670000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.333333330000000,5.333333330000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.333333330000000,0.000000000000000,0.000000000000000,0.666666670000000,0.000000000000000,0.666666670000000,0.000000000000000,53.333333330000002,53.333333330000002,0.000000000000000,0.000000000000000,0.000000000000000,NS,SM,SM,NS,NS,M,M,NS,NS,M,SM,NS,NS,M,SM,low soil and site stability,lots of pooling low inflitration,mostly sage communities low c3/c4 grasses low plant diversity,54.666666669999998,,Taos,NM,48.000000000000000,74.049999999999997,74.049999999999997,,,,,,,1.333333330000000,0.000000000000000,1.333333330000000,19.000000000000000,,53.333333330000002,0.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,1.333333330000000,2.666666670000000,0.000000000000000,0.666666670000000,,BOGR2,,32.000000000000000,19.000000000000000,,ARTR2,0.000000000000000,,0.000000000000000,0.000000000000000,NM_TaosFO_LUP_2014_5-3b_01.mdb,SM,M,M,{ECD4BAC0-9496-491B-9AEE-0556680E2D46},M,M,,,ILMNATAIMDEV,11/30/2018 23:16:36
3,New Mexico RGdNNM 2014,R036XA004NM,Gravelly Slopes - 34,1407021325321408,36.578371050000001,-105.706188139999990,7/2/2014 6:00:00,7/2/2014 6:00:00,28.666666670000001,52.000000000000000,10.880000000000001,26.280000000000001,14.520000000000000,9.266666669999999,60.946666669999999,18.666666670000001,29.666666670000001,16.038461540000000,,1.777777780000000,1.666666670000000,2.333333330000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,11.333333330000000,29.333333329999999,0.000000000000000,11.333333330000000,29.333333329999999,0.000000000000000,18.666666670000001,2.000000000000000,0.000000000000000,13.000000000000000,,2014-09-01,14070213253214082014-09-01,18.000000000000000,13.000000000000000,0.000000000000000,0.000000000000000,10.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,8.666666670000000,4.666666670000000,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000,5.333333330000000,0.000000000000000,0.000000000000000,23.333333329999999,0.000000000000000,10.000000000000000,0.000000000000000,16.666666670000001,16.666666670000001,0.000000000000000,0.000000000000000,0.000000000000000,NS,NS,NS,NS,NS,NS,SM,NS,NS,NS,SM,NS,NS,SM,SM,Some pedestaling and lower surface soil stability than expected.,Most site hydrologic function normal.,"ARTR2 mortality is 25-40% on site and high invasives such as DEPI, GUSA2 and LAOC3",52.000000000000000,,Taos,NM,11.333333330000000,34.142857139999997,34.142857139999997,,,,,,,29.333333329999999,0.000000000000000,29.333333329999999,13.000000000000000,,18.666666670000001,0.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,29.333333329999999,11.333333330000000,0.000000000000000,15.333333330000000,,BOGR2; MUTO2,,9.916666670000000,13.000000000000000,21.777777780000001,ARTR2,0.000000000000000,SIAL2,0.000000000000000,0.000000000000000,NM_TaosFO_LUP_2014_5-3b_01.mdb,SM,NS,SM,{3D6997DC-ED9B-4336-B1D7-460E93FC9186},NS,SM,,,ILMNATAIMDEV,11/30/2018 23:16:36
4,New Mexico RGdNNM 2014, UNKNOWN,PSME QUGA - 12,1407241045418080,36.760569040000000,-105.899538080000000,7/24/2014 6:00:00,7/24/2014 6:00:00,28.000000000000000,53.333333330000002,14.320000000000000,17.293333329999999,11.026666669999999,0.000000000000000,42.640000000000001,22.666666670000001,37.049999999999997,13.720000000000001,,3.277777780000000,3.500000000000000,1.500000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,33.333333330000002,0.000000000000000,0.000000000000000,33.333333330000002,0.666666670000000,22.666666670000001,4.666666670000000,0.000000000000000,12.958333330000000,,2014-09-01,14072410454180802014-09-01,13.000000000000000,12.958333330000000,0.000000000000000,0.000000000000000,8.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,10.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4.000000000000000,0.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,26.666666670000001,0.000000000000000,0.000000000000000,0.000000000000000,22.666666670000001,22.666666670000001,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,Overally soil and site stability healthy,Hydrologic function is good over site minimal pedestaling observed, Overall plant communities healthy however up to 25% ARTR2 mortality observed.,53.333333330000002,,Taos,NM,16.666666670000001,45.285714290000001,45.285714290000001,,,,,,,33.333333330000002,0.000000000000000,33.333333330000002,12.958333330000000,,22.666666670000001,0.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,33.333333330000002,0.000000000000000,0.000000000000000,30.000000000000000,,BOGR2; MUTO2,,8.125000000000000,12.958333330000000,32.000000000000000,ARTR2,0.000000000000000,,0.000000000000000,0.000000000000000,NM_TaosFO_LUP_2014_5-3b_01.mdb,,,,{975E1528-A519-4E6D-8D79-E3BE46BCFBC2},,,,,ILMNATAIMDEV,11/30/2018 23:16:36
5,New Mexico RGdNNM 2014,F048AY015NM,Mendius - 09,1407030953002482,36.704733050000002,-105.925475080000000,7/3/2014 6:00:00,7/3/2014 6:00:00,12.666666670000000,63.333333330000002,1.026666670000000,0.680000000000000,1.946666670000000,35.626666669999999,39.280000000000001,0.000000000000000,593.380952380000050,28.000000000000000,,4.277777780000000,5.076923080000000,2.200000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.333333330000000,0.000000000000000,0.000000000000000,1.333333330000000,0.000000000000000,6.666666670000000,0.000000000000000,56.666666669999998,15.666666670000000,,2014-09-01,14070309530024822014-09-01,17.000000000000000,15.666666670000000,0.000000000000000,0.000000000000000,19.333333329999999,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4.666666670000000,7.333333330000000,0.000000000000000,56.666666669999998,0.000000000000000,0.000000000000000,0.000000000000000,12.000000000000000,0.000000000000000,0.000000000000000,1.333333330000000,0.000000000000000,0.000000000000000,0.000000000000000,5.333333330000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,,,,63.333333330000002,,Taos,NM,0.000000000000000,,,,,,,,,1.333333330000000,0.000000000000000,1.333333330000000,15.666666670000000,,6.666666670000000,0.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,1.333333330000000,0.000000000000000,0.666666670000000,0.000000000000000,KOMA,BOGR2,12.000000000000000,,15.666666670000000,65.000000000000000,,0.000000000000000,,0.000000000000000,0.000000000000000,NM_TaosFO_LUP_2014_5-3b_01.mdb,,,,{630D7117-50BE-433C-AEF4-9A325C0A595F},,,,,ILMNATAIMDEV,11/30/2018 23:16:36
6,New Mexico RGdNNM 2014,R036XA004NM,Gravelly Slopes - 35,1407070932534722,36.553719059999999,-105.711030140000010,7/7/2014 6:00:00,7/7/2014 6:00:00,42.666666669999998,38.000000000000000,12.346666669999999,16.666666670000001,30.600000000000001,2.800000000000000,62.413333330000000,22.000000000000000,34.166666669999998,20.058823530000002,,1.722222220000000,1.769230770000000,1.600000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.666666670000000,11.333333330000000,0.000000000000000,2.666666670000000,11.333333330000000,0.000000000000000,22.000000000000000,2.666666670000000,0.000000000000000,17.714285709999999,,2014-09-01,14070709325347222014-09-01,14.000000000000000,17.714285709999999,0.000000000000000,0.000000000000000,13.333333330000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6.000000000000000,4.666666670000000,0.000000000000000,0.000000000000000,0.000000000000000,2.666666670000000,0.000000000000000,8.666666670000000,0.000000000000000,0.000000000000000,10.666666670000000,0.000000000000000,2.666666670000000,0.000000000000000,22.000000000000000,22.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,M,M,SM,M,NS,NS,NS,NS,NS,NS,SM,NS,NS,SM,NS,"Surface stability is good but some erosion and pedestaling due to water movement, rills and gullies.","Lots of water movement on site, rills, gully formation and pedestaling.",biotic integrity and plant communities normal distribution and healthy.,38.000000000000000,,Taos,NM,22.000000000000000,40.384615380000000,40.384615380000000,,,,,,,11.333333330000000,0.000000000000000,11.333333330000000,17.714285709999999,,22.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,11.333333330000000,2.666666670000000,0.000000000000000,8.666666670000000,ACHY,BOGR2; MUTO2,48.000000000000000,11.300000000000001,17.714285709999999,31.000000000000000,ARTR2,0.000000000000000,,0.000000000000000,0.000000000000000,NM_TaosFO_LUP_2014_5-3b_01.mdb,SM,NS,NS,{E61274FE-8F4E-4492-9C81-0DFA301C2161},SM,SM,,,ILMNATAIMDEV,11/30/2018 23:16:36
